index,division,state,namesake,created,abolished,isfed,ispm,iscol,isfem,isind,isgeo,isaus
FKLN,Franklin,Tasmania,"Sir John Franklin KCH RN, 1786–1847",02/10/2003,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
FLND,Flinders,Victoria,"Capt. Matthew Flinders, 1774–1814",26/09/2000,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
FLYN,Flynn,Queensland,"Rev John Flynn OBE, 1880–1951",22/11/2006,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
FNNR,Fenner,Australian Capital Territory,"Prof Frank John Fenner AC CMG MBE FAA FRS FRACP FRCP, 1914–2010",28/01/2016,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
FRDE,Forde,Queensland,"Francis Michael Forde, 1890–1983",13/09/1984,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
FREM,Fremantle,Western Australia,"City of Fremantle, est. 1871",05/12/2000,,TRUE,,,,,TRUE,FALSE
FRRR,Farrer,New South Wales,"William James Farrer, 1845–1906",11/05/2049,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
FRSR,Fraser,Victoria,"Rt Hon. John Malcolm Fraser AC CH, 1930–2015",13/07/2018,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
FRST,Forrest,Western Australia,"Sir John Forrest, 1847–1918",13/09/2022,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
FSHR,Fisher,Queensland,"Andrew Fisher, 1862–1928",11/05/2049,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
FWLR,Fowler,New South Wales,"Elizabeth Lilian Maud Fowler MBE, 1887–1954",11/10/1984,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
GDST,Goldstein,Victoria,"Vida Jane Goldstein, 1869–1949",14/09/1984,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
GIPP,Gippsland,Victoria,"Gippsland region, Gunai Country",26/09/2000,,TRUE,,,,,TRUE,FALSE
GLBD,Gellibrand,Victoria,"Joseph Gellibrand, 1786–1836",11/05/2049,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
GLMR,Gilmore,New South Wales,"Dame Mary Jean Gilmore DBE, 1865–1962",11/10/1984,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
GREY,Grey,South Australia,"Sir George Grey, 1812–98",02/10/2003,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
GRFF,Griffith,Queensland,"Sir Samuel Walker Griffith QC, 1845–1920",01/08/2034,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
GROO,Groom,Queensland,"Sir Littleton Ernest Groom, 1867–1936",13/09/1984,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
GRTN,Gorton,Victoria,"Rt Hon. Sir John Grey Gorton GCMG AC CH, 1911-2002",29/01/2003,,FALSE,TRUE,,FALSE,FALSE,FALSE,TRUE
